user_id,species,breed,age_months,source,device,weekday,returning_user,discount_seen,campaign_type,session_time,pages_viewed,shelter_rating,distance_km,vet_check_available,neutered,viewed_product,photo_clicks,breed_views,added_to_cart,purchased,abandoned
U00019,cat,Siamese,3-6,social_media,mobile,Sunday,0,1,seasonal,0.79,1,4.0,6.4,1,1,1,4,2,0,0,1
U00020,dog,German Shepherd,6-12,social_media,mobile,Sunday,0,0,awareness,6.25,1,3.3,19.0,0,1,1,2,2,0,0,1
U00021,cat,Mixed,24+,social_media,mobile,Saturday,0,0,awareness,0.5,6,4.9,15.4,1,1,1,4,4,0,0,1
U00022,dog,German Shepherd,6-12,email,desktop,Thursday,0,0,awareness,6.76,8,4.5,4.2,1,1,1,1,5,0,0,1
U00023,dog,German Shepherd,12-24,referral,mobile,Friday,0,1,retargeting,9.1,1,3.5,4.8,1,1,0,0,0,0,0,0
U00024,dog,Labrador,0-3,organic,desktop,Friday,0,0,retargeting,1.95,2,4.9,7.8,0,1,0,0,0,0,0,0
U00025,cat,Mixed,6-12,social_media,mobile,Thursday,0,0,none,1.84,1,3.8,3.2,0,0,1,1,5,0,0,1
U00026,rabbit,Lionhead,12-24,organic,mobile,Wednesday,1,1,retargeting,3.1,2,3.9,6.0,1,0,0,0,0,0,0,0
U00027,dog,German Shepherd,3-6,email,mobile,Thursday,0,1,retargeting,1.29,4,3.3,12.7,1,1,1,3,0,0,0,1
U00028,cat,Sphynx,6-12,paid_ad,mobile,Friday,0,0,retargeting,8.56,3,3.9,4.2,1,1,0,0,0,1,1,0
U00029,cat,Persian,3-6,referral,desktop,Thursday,0,0,retargeting,3.56,5,4.9,5.1,1,1,0,0,0,0,0,0
U00030,dog,Bulldog,6-12,organic,mobile,Wednesday,1,0,none,3.96,2,3.9,34.0,0,0,0,0,0,0,0,0
U00031,cat,Ragdoll,12-24,referral,mobile,Saturday,0,0,awareness,1.17,3,4.4,9.6,1,1,0,0,0,0,0,0
U00032,dog,Mixed,0-3,organic,desktop,Friday,0,0,retargeting,0.5,3,5.0,18.5,0,1,0,0,0,0,0,0
U00033,dog,German Shepherd,0-3,email,desktop,Monday,0,0,seasonal,1.49,7,4.2,4.7,0,0,0,0,0,0,0,0
U00034,bird,Parakeet,6-12,organic,mobile,Thursday,0,0,none,0.5,1,3.6,13.6,1,1,0,0,0,0,0,0
U00035,reptile,Ball Python,3-6,paid_ad,mobile,Sunday,0,1,awareness,2.21,1,3.7,17.3,1,0,1,3,1,0,0,1
U00036,rabbit,Mini Rex,6-12,social_media,desktop,Saturday,0,0,retargeting,5.3,4,3.5,5.4,1,1,1,0,3,0,0,1
U00037,dog,Mixed,12-24,email,tablet,Wednesday,0,0,retargeting,0.5,4,4.9,8.6,1,1,1,3,3,0,0,1
U00038,dog,German Shepherd,0-3,paid_ad,desktop,Sunday,0,0,awareness,0.74,3,4.8,27.8,1,0,1,1,3,0,0,1
U00039,cat,Maine Coon,12-24,organic,mobile,Monday,0,0,none,3.02,3,4.3,18.3,1,1,0,0,0,0,0,0
U00040,cat,Mixed,6-12,organic,tablet,Sunday,0,0,retargeting,10.43,5,3.2,33.7,1,0,0,0,0,0,0,0
U00041,dog,Golden Retriever,0-3,paid_ad,mobile,Wednesday,0,0,retargeting,4.5,3,4.6,3.1,1,1,0,0,0,0,0,0
U00042,cat,Mixed,0-3,social_media,mobile,Monday,1,0,retargeting,0.5,2,4.6,16.8,1,0,0,0,0,0,0,0
U00043,dog,Golden Retriever,6-12,organic,desktop,Thursday,0,0,retargeting,17.04,5,4.5,1.0,1,1,1,1,2,0,0,1
U00044,bird,Cockatiel,3-6,social_media,mobile,Thursday,1,0,awareness,8.73,4,3.3,4.1,1,1,0,0,0,0,0,0
U00045,dog,Beagle,3-6,email,mobile,Friday,0,0,seasonal,1.79,7,3.6,1.0,0,0,1,4,0,0,0,1
U00046,cat,Sphynx,6-12,organic,mobile,Saturday,0,0,retargeting,4.36,5,4.6,21.2,1,1,0,0,0,0,0,0
U00047,dog,Beagle,12-24,organic,mobile,Sunday,1,0,awareness,3.08,2,3.9,10.6,1,1,0,0,0,0,0,0
U00048,cat,Mixed,3-6,organic,desktop,Thursday,0,0,seasonal,22.21,4,3.5,10.5,0,0,0,0,0,0,0,0
U00049,cat,Sphynx,6-12,social_media,desktop,Thursday,0,0,seasonal,5.54,4,4.3,7.8,1,1,0,0,0,0,0,0
U00050,dog,Bulldog,6-12,paid_ad,mobile,Tuesday,0,1,retargeting,14.64,3,4.2,1.0,1,1,1,3,1,1,1,0
U00051,reptile,Bearded Dragon,0-3,referral,mobile,Monday,0,0,awareness,0.78,3,4.0,21.5,1,1,1,5,2,0,0,1
U00052,rabbit,Mini Rex,6-12,email,tablet,Saturday,1,1,awareness,2.12,1,3.7,18.9,1,1,0,0,0,1,0,0
U00053,bird,Cockatiel,12-24,organic,desktop,Monday,0,1,none,9.12,6,4.5,18.9,0,0,1,4,0,0,0,1
U00054,bird,Parakeet,12-24,referral,mobile,Saturday,0,1,none,5.36,7,4.1,77.3,1,1,0,0,0,0,0,0
U00055,cat,Persian,0-3,social_media,tablet,Friday,1,0,awareness,8.56,3,4.7,27.3,1,1,1,6,4,0,0,1
U00056,bird,Canary,12-24,organic,desktop,Tuesday,1,1,awareness,11.78,8,4.7,4.7,1,1,1,1,2,0,0,1
U00057,dog,Golden Retriever,12-24,referral,mobile,Friday,1,1,none,5.52,4,4.9,2.4,0,0,1,2,0,1,1,0
U00058,dog,Chihuahua,12-24,paid_ad,mobile,Tuesday,0,0,seasonal,4.6,3,4.5,9.0,0,1,0,0,0,0,0,0
U00059,dog,Poodle,12-24,paid_ad,mobile,Thursday,1,0,awareness,2.79,2,3.3,26.8,0,1,1,1,4,0,0,1
U00060,dog,Labrador,3-6,paid_ad,desktop,Saturday,1,1,awareness,4.91,5,3.7,2.6,1,0,1,4,3,1,1,0
U00061,dog,Beagle,24+,organic,mobile,Thursday,1,0,awareness,2.37,2,4.5,22.4,1,0,1,2,3,0,0,1
U00062,dog,Chihuahua,12-24,organic,mobile,Tuesday,1,0,none,4.41,6,3.3,42.0,0,0,1,2,0,1,0,1
U00063,rabbit,Dutch,3-6,email,mobile,Saturday,1,1,seasonal,1.83,1,4.4,2.2,0,1,0,0,0,0,0,0
U00064,dog,Bulldog,0-3,organic,tablet,Tuesday,0,0,none,1.04,3,3.7,17.2,1,0,1,3,2,1,0,1
U00065,dog,German Shepherd,0-3,social_media,mobile,Saturday,0,0,awareness,0.51,5,3.5,3.6,1,0,1,3,2,0,0,1
U00066,cat,Siamese,12-24,paid_ad,tablet,Thursday,1,0,awareness,16.79,3,4.1,81.6,1,1,1,5,2,1,0,1
U00067,dog,Bulldog,12-24,paid_ad,tablet,Thursday,0,0,awareness,0.5,3,3.2,33.3,0,1,0,0,0,0,0,0
U00068,rabbit,Mixed,0-3,social_media,mobile,Sunday,0,1,awareness,0.5,2,4.4,7.0,1,1,1,4,5,0,0,1
U00069,dog,Golden Retriever,6-12,paid_ad,mobile,Saturday,0,0,none,2.68,2,3.8,1.0,1,1,0,0,0,0,0,0
U00070,reptile,Bearded Dragon,3-6,paid_ad,mobile,Monday,1,1,none,1.07,2,4.2,1.0,1,1,0,0,0,0,0,0
U00071,rabbit,Dutch,6-12,email,tablet,Wednesday,0,0,awareness,2.6,2,3.2,10.2,1,1,0,0,0,0,0,0
U00072,dog,Bulldog,12-24,organic,mobile,Sunday,1,0,retargeting,0.57,6,3.9,47.4,1,1,0,0,0,0,0,0
U00073,dog,German Shepherd,3-6,organic,mobile,Monday,0,0,awareness,0.64,3,4.6,28.1,1,1,0,0,0,0,0,0
U00074,rabbit,Lionhead,0-3,social_media,mobile,Friday,0,0,none,5.64,1,4.4,9.8,0,1,0,0,0,0,0,0
U00075,cat,Siamese,0-3,organic,mobile,Saturday,0,1,none,6.48,3,4.1,3.7,1,1,0,0,0,0,0,0
U00076,cat,Bengal,24+,organic,tablet,Friday,0,0,retargeting,0.72,5,3.4,1.0,1,1,1,6,2,0,0,1
U00077,rabbit,Holland Lop,12-24,organic,desktop,Saturday,1,1,awareness,6.61,6,4.2,7.3,0,0,1,1,2,0,0,1
U00078,dog,Bulldog,0-3,social_media,desktop,Saturday,1,0,none,7.33,2,4.4,25.4,1,1,1,5,3,1,1,0
U00079,dog,Bulldog,0-3,referral,mobile,Saturday,1,0,retargeting,5.69,3,4.1,10.0,1,0,1,3,1,0,0,1
U00080,dog,Golden Retriever,6-12,organic,mobile,Saturday,0,0,none,2.93,4,4.5,9.6,1,1,1,0,1,0,0,1
U00081,bird,Mixed,3-6,paid_ad,tablet,Saturday,0,1,awareness,1.57,4,3.8,9.7,0,1,1,5,0,1,1,0
U00082,cat,Maine Coon,6-12,email,mobile,Thursday,0,0,none,4.96,4,3.8,3.6,0,1,1,3,4,0,0,1
U00083,dog,Poodle,6-12,organic,tablet,Thursday,0,0,seasonal,3.02,5,4.9,25.0,1,0,1,1,0,0,0,1
U00084,dog,Chihuahua,0-3,referral,mobile,Saturday,0,0,none,1.12,3,4.8,21.0,0,1,1,6,2,1,1,0
U00085,dog,Labrador,3-6,email,mobile,Sunday,1,0,awareness,2.39,4,3.4,5.3,1,1,1,3,4,1,1,0
U00086,dog,Chihuahua,6-12,social_media,desktop,Wednesday,0,0,seasonal,11.24,6,3.5,3.0,0,1,1,1,1,0,0,1
U00087,cat,Bengal,3-6,paid_ad,tablet,Wednesday,0,0,none,4.2,1,4.1,23.3,1,1,0,0,0,0,0,0
U00088,cat,Persian,6-12,organic,tablet,Sunday,1,1,awareness,2.32,3,4.1,56.8,1,1,0,0,0,1,1,0
U00089,bird,Cockatiel,24+,email,mobile,Friday,0,0,none,6.24,1,3.2,2.2,1,1,0,0,0,0,0,0
U00090,cat,Siamese,24+,organic,mobile,Tuesday,1,0,none,9.71,3,4.8,2.6,1,0,0,0,0,0,0,0
U00091,dog,Poodle,3-6,paid_ad,desktop,Saturday,1,0,awareness,4.43,5,4.5,13.4,1,1,1,5,1,0,0,1
U00092,cat,Bengal,12-24,social_media,desktop,Sunday,0,0,seasonal,3.66,5,4.6,9.9,0,1,0,0,0,0,0,0
U00093,rabbit,Mixed,3-6,email,desktop,Saturday,0,0,awareness,5.69,8,4.4,2.5,0,1,0,0,0,0,0,0
U00094,cat,Bengal,24+,organic,mobile,Saturday,1,1,awareness,0.5,2,3.3,13.7,1,1,1,6,5,0,0,1
U00095,rabbit,Mini Rex,3-6,email,tablet,Tuesday,0,1,awareness,5.88,2,3.7,1.0,1,1,0,0,0,0,0,0
U00096,cat,Ragdoll,6-12,paid_ad,desktop,Sunday,0,0,awareness,11.89,4,3.7,10.2,1,1,1,3,1,1,1,0
U00097,cat,Bengal,3-6,social_media,desktop,Friday,1,0,awareness,3.95,7,5.0,1.8,1,1,1,4,0,0,0,1
U00098,cat,Bengal,0-3,email,mobile,Sunday,0,1,none,0.87,4,3.2,7.2,1,1,1,2,2,0,0,1
U00099,dog,German Shepherd,0-3,social_media,mobile,Wednesday,0,1,none,0.5,5,4.1,61.2,1,0,0,0,0,0,0,0
U00100,dog,Bulldog,24+,paid_ad,tablet,Monday,1,0,awareness,6.59,2,4.5,6.9,0,0,1,4,6,0,0,1
U00101,dog,Beagle,6-12,social_media,desktop,Thursday,1,0,seasonal,2.44,5,3.8,6.4,1,0,1,5,3,1,1,0
U00102,cat,Ragdoll,24+,paid_ad,desktop,Wednesday,0,1,none,4.86,2,4.1,8.5,1,1,1,4,1,1,1,0
U00103,dog,Golden Retriever,3-6,paid_ad,tablet,Saturday,0,0,awareness,3.17,2,3.3,12.1,0,0,0,0,0,0,0,0
U00104,cat,Sphynx,6-12,social_media,desktop,Sunday,0,0,none,1.5,5,3.4,1.0,1,1,1,2,1,0,0,1
U00105,bird,Cockatiel,3-6,organic,mobile,Saturday,0,1,none,2.49,1,4.4,25.4,1,1,0,0,0,0,0,0
U00106,dog,German Shepherd,0-3,social_media,mobile,Sunday,1,1,awareness,2.8,4,4.4,5.3,1,0,1,2,2,0,0,1
U00107,cat,Sphynx,12-24,paid_ad,mobile,Thursday,1,0,retargeting,4.45,4,4.1,28.2,0,1,1,5,1,0,0,1
U00108,rabbit,Mixed,3-6,organic,mobile,Saturday,1,0,awareness,1.02,6,4.8,2.3,1,1,1,3,1,0,0,1
U00109,dog,Beagle,12-24,social_media,mobile,Sunday,0,0,none,1.1,1,3.7,8.5,0,1,0,0,0,0,0,0
U00110,dog,Bulldog,3-6,paid_ad,mobile,Saturday,0,1,seasonal,7.66,5,4.5,66.2,1,1,0,0,0,0,0,0
U00111,dog,Golden Retriever,24+,social_media,mobile,Friday,0,1,none,5.51,5,4.5,3.2,0,1,0,0,0,0,0,0
U00112,dog,Chihuahua,12-24,email,mobile,Friday,0,1,retargeting,6.73,3,3.9,10.8,1,1,1,2,1,0,0,1
U00113,bird,Lovebird,12-24,organic,mobile,Saturday,0,0,retargeting,0.5,6,4.7,5.8,0,1,1,2,5,0,0,1
U00114,rabbit,Holland Lop,12-24,organic,mobile,Wednesday,0,0,retargeting,0.89,7,4.1,15.6,1,1,1,3,4,0,0,1
U00115,cat,Persian,6-12,paid_ad,mobile,Saturday,0,0,seasonal,3.9,4,4.3,1.1,1,0,0,0,0,0,0,0
U00116,bird,Cockatiel,12-24,organic,desktop,Sunday,1,0,retargeting,11.68,5,3.1,24.5,1,1,1,5,0,1,0,1
U00117,rabbit,Mixed,12-24,organic,mobile,Thursday,1,0,none,7.79,4,4.4,15.2,1,1,1,6,2,0,0,1
U00118,dog,Beagle,3-6,paid_ad,mobile,Saturday,0,0,none,8.11,2,4.3,30.4,0,0,0,0,0,0,0,0
U00119,bird,Lovebird,6-12,social_media,desktop,Saturday,0,0,none,0.5,6,4.8,21.4,1,1,0,0,0,0,0,0
U00120,cat,Siamese,12-24,referral,desktop,Saturday,1,1,none,13.41,2,3.3,2.2,0,0,1,3,2,0,0,1
U00121,rabbit,Mini Rex,12-24,referral,mobile,Friday,1,0,seasonal,8.03,2,3.4,30.4,1,1,1,4,3,0,0,1
U00122,bird,Parakeet,0-3,organic,desktop,Sunday,0,1,none,0.5,5,4.0,7.4,0,1,1,4,5,0,0,1
U00123,dog,Poodle,6-12,organic,tablet,Thursday,1,0,retargeting,3.5,6,3.7,10.1,0,1,1,4,1,0,0,1
U00124,dog,Bulldog,3-6,paid_ad,desktop,Monday,1,1,retargeting,6.0,6,3.3,1.0,1,1,0,0,0,0,0,0
U00125,dog,Golden Retriever,12-24,social_media,mobile,Sunday,0,0,retargeting,1.21,1,3.3,3.9,1,1,1,5,4,0,0,1
U00126,cat,Maine Coon,12-24,organic,desktop,Saturday,0,0,awareness,5.67,2,4.4,5.2,0,1,1,3,2,0,0,1
U00127,rabbit,Mini Rex,0-3,paid_ad,mobile,Sunday,0,0,retargeting,7.6,2,4.5,24.5,1,1,0,0,0,0,0,0
U00128,bird,Mixed,3-6,organic,desktop,Tuesday,0,0,none,12.1,4,4.8,9.7,1,0,1,5,3,0,0,1
U00129,dog,Mixed,24+,paid_ad,tablet,Monday,0,0,retargeting,18.27,3,3.6,6.8,1,0,0,0,0,0,0,0
U00130,cat,Sphynx,6-12,organic,mobile,Sunday,1,1,none,3.01,3,3.9,44.5,0,1,1,2,4,0,0,1
U00131,cat,Ragdoll,6-12,organic,tablet,Tuesday,1,0,seasonal,3.44,4,3.3,4.1,0,1,1,3,3,1,1,0
U00132,dog,Labrador,3-6,organic,mobile,Saturday,0,0,none,4.99,1,3.2,9.9,1,1,1,4,1,1,0,1
U00133,dog,Golden Retriever,0-3,referral,tablet,Saturday,0,0,none,3.5,3,3.0,4.5,1,1,1,4,3,1,0,1
U00134,dog,Chihuahua,0-3,email,desktop,Saturday,1,0,awareness,0.5,7,3.3,4.0,1,1,1,3,3,0,0,1
U00135,bird,Parakeet,0-3,paid_ad,mobile,Tuesday,0,1,retargeting,4.45,1,3.6,32.6,0,1,0,0,0,0,0,0
U00136,dog,Poodle,0-3,social_media,desktop,Saturday,0,0,retargeting,2.57,7,4.1,12.4,0,1,1,4,0,1,1,0
U00137,cat,Siamese,0-3,social_media,mobile,Sunday,1,0,none,0.5,2,4.2,1.0,1,1,1,3,2,1,0,1
U00138,cat,Bengal,24+,organic,mobile,Thursday,0,1,none,0.5,2,4.1,2.4,0,1,1,0,3,1,0,1
U00139,dog,Labrador,3-6,social_media,desktop,Thursday,0,0,none,20.9,3,3.1,31.9,1,0,0,0,0,0,0,0
U00140,reptile,Mixed,3-6,email,mobile,Thursday,0,1,awareness,1.02,3,4.0,1.0,1,0,0,0,0,0,0,0
U00141,reptile,Mixed,6-12,email,desktop,Monday,0,0,awareness,3.56,4,3.9,33.6,0,1,0,0,0,0,0,0
U00142,dog,Beagle,12-24,organic,mobile,Sunday,0,0,awareness,13.68,4,4.5,3.5,1,0,0,0,0,0,0,0
U00143,cat,Siamese,6-12,referral,mobile,Sunday,0,0,retargeting,2.87,1,4.8,59.9,1,0,0,0,0,0,0,0
U00144,dog,Poodle,3-6,organic,tablet,Sunday,0,0,awareness,0.53,5,4.3,14.6,0,0,0,0,0,0,0,0
U00145,dog,Bulldog,12-24,referral,mobile,Friday,0,1,seasonal,3.65,4,4.4,59.4,1,1,0,0,0,0,0,0
U00146,dog,Golden Retriever,0-3,organic,desktop,Saturday,0,0,none,0.72,4,3.8,10.9,1,0,1,4,4,1,0,1
U00147,cat,Persian,12-24,social_media,desktop,Tuesday,0,0,awareness,0.78,3,4.2,22.9,0,0,1,2,0,0,0,1
U00148,cat,Bengal,12-24,social_media,desktop,Saturday,0,0,awareness,14.87,2,4.1,4.8,0,0,0,0,0,0,0,0
U00149,dog,Bulldog,24+,social_media,tablet,Saturday,1,0,none,2.22,4,4.9,2.5,0,0,1,0,2,0,0,1
U00150,dog,Mixed,12-24,email,desktop,Sunday,0,1,awareness,8.86,6,4.5,1.7,1,1,1,1,0,1,0,1
U00151,bird,Cockatiel,3-6,social_media,mobile,Sunday,1,0,none,2.49,1,3.6,6.1,1,1,1,3,4,1,0,1
U00152,dog,Bulldog,12-24,social_media,desktop,Sunday,0,1,none,1.96,3,4.8,7.3,1,1,0,0,0,0,0,0
U00153,dog,Labrador,12-24,paid_ad,mobile,Sunday,0,1,awareness,3.32,1,4.1,5.8,0,1,1,4,0,1,0,1
U00154,cat,Maine Coon,3-6,email,mobile,Sunday,1,0,none,0.5,2,3.3,48.6,0,0,1,2,2,1,0,1
U00155,reptile,Ball Python,6-12,paid_ad,tablet,Monday,0,1,none,2.13,1,4.7,2.2,1,1,1,5,3,1,1,0
U00156,dog,Bulldog,0-3,organic,desktop,Sunday,1,0,awareness,5.77,2,4.1,3.4,1,1,1,3,2,1,1,0
U00157,cat,Persian,6-12,email,desktop,Friday,0,0,awareness,2.02,8,3.2,3.4,1,1,0,0,0,0,0,0
U00158,rabbit,Dutch,0-3,email,desktop,Thursday,0,0,none,6.48,5,3.8,19.8,1,1,0,0,0,0,0,0
U00159,dog,Mixed,3-6,social_media,desktop,Monday,1,0,none,0.5,7,4.0,16.5,1,1,1,3,1,0,0,1
U00160,cat,Sphynx,6-12,social_media,tablet,Saturday,0,1,awareness,4.31,1,3.6,2.9,1,1,0,0,0,0,0,0
U00161,dog,Chihuahua,6-12,social_media,mobile,Wednesday,0,0,retargeting,5.71,1,3.6,1.0,1,1,1,4,1,1,1,0
U00162,cat,Ragdoll,3-6,organic,mobile,Thursday,1,0,seasonal,2.56,4,3.3,1.0,1,0,0,0,0,0,0,0
U00163,cat,Mixed,0-3,organic,mobile,Saturday,1,0,none,9.45,2,4.4,4.2,0,0,1,3,4,0,0,1
U00164,cat,Mixed,6-12,organic,desktop,Sunday,0,0,none,7.8,4,3.1,21.1,1,0,1,4,2,0,0,1
U00165,dog,Mixed,0-3,email,mobile,Saturday,0,0,none,14.48,2,3.6,34.1,0,1,1,4,1,0,0,1
U00166,rabbit,Holland Lop,3-6,email,mobile,Thursday,0,1,awareness,1.17,3,3.4,35.0,0,1,0,0,0,0,0,0
U00167,dog,German Shepherd,12-24,referral,mobile,Thursday,0,0,awareness,12.71,1,3.9,8.5,1,1,0,0,0,0,0,0
U00168,dog,Bulldog,3-6,paid_ad,tablet,Wednesday,0,1,awareness,6.07,1,4.6,25.9,1,1,0,0,0,0,0,0
U00169,dog,Bulldog,24+,organic,desktop,Thursday,1,1,retargeting,10.66,4,3.6,19.0,1,1,1,5,1,1,0,1
U00170,cat,Mixed,12-24,paid_ad,mobile,Tuesday,0,0,retargeting,10.58,6,4.7,1.1,1,1,0,0,0,0,0,0
U00171,cat,Persian,3-6,paid_ad,mobile,Sunday,1,0,seasonal,3.65,5,4.7,38.1,1,1,1,1,4,0,0,1
U00172,dog,German Shepherd,0-3,social_media,mobile,Friday,0,0,none,9.02,2,3.8,11.7,1,1,0,0,0,0,0,0
U00173,cat,Siamese,3-6,email,mobile,Tuesday,0,1,none,3.55,4,4.7,9.3,0,0,1,4,0,1,1,0
U00174,dog,Beagle,0-3,referral,mobile,Thursday,1,0,none,4.16,2,3.6,13.2,0,0,0,0,0,0,0,0
U00175,cat,Maine Coon,6-12,social_media,tablet,Friday,0,0,none,3.83,5,3.5,2.9,0,1,0,0,0,0,0,0
U00176,dog,Poodle,0-3,referral,tablet,Friday,0,0,seasonal,1.02,1,4.7,2.6,1,1,0,0,0,0,0,0
U00177,cat,Siamese,24+,organic,mobile,Monday,0,0,none,3.67,1,4.3,8.6,0,1,0,0,0,0,0,0
U00178,dog,German Shepherd,3-6,organic,mobile,Sunday,1,0,awareness,17.25,5,3.5,12.8,1,0,1,3,0,0,0,1
U00179,bird,Cockatiel,0-3,social_media,mobile,Wednesday,0,0,none,5.42,3,3.1,1.0,0,0,1,6,2,0,0,1
U00180,dog,Golden Retriever,12-24,email,mobile,Monday,0,0,none,6.26,2,4.5,1.3,1,1,0,0,0,0,0,0
U00181,dog,Golden Retriever,3-6,paid_ad,mobile,Monday,1,0,none,4.69,1,3.6,42.3,0,1,1,4,0,1,0,1
U00182,dog,Mixed,6-12,referral,mobile,Friday,0,0,none,1.95,5,3.2,6.6,0,1,1,2,2,1,0,1
U00183,bird,Mixed,12-24,social_media,mobile,Tuesday,1,0,awareness,0.65,4,3.6,1.7,1,1,1,2,2,1,0,1
U00184,bird,Lovebird,0-3,organic,desktop,Monday,0,1,seasonal,1.53,4,3.9,2.4,0,1,1,6,0,0,0,1
U00185,dog,German Shepherd,0-3,paid_ad,desktop,Thursday,0,0,awareness,0.5,1,3.4,7.6,1,1,1,3,3,0,0,1
U00186,cat,Siamese,0-3,email,desktop,Friday,1,0,awareness,8.73,5,3.1,28.2,0,1,0,0,0,0,0,0
U00187,rabbit,Dutch,3-6,organic,mobile,Tuesday,1,0,none,5.85,6,3.7,6.4,0,1,1,2,2,0,0,1
U00188,cat,Persian,6-12,social_media,tablet,Wednesday,1,0,retargeting,2.04,1,4.0,19.9,1,1,1,4,1,0,0,1
U00189,cat,Maine Coon,24+,paid_ad,tablet,Thursday,1,0,none,0.63,2,4.6,5.2,1,1,1,3,2,0,0,1
U00190,dog,Bulldog,6-12,paid_ad,mobile,Tuesday,0,0,seasonal,1.86,3,4.6,8.9,1,1,1,5,1,0,0,1
U00191,dog,Bulldog,12-24,social_media,mobile,Friday,0,1,awareness,1.57,4,3.3,4.2,1,0,0,0,0,0,0,0
U00192,bird,Cockatiel,0-3,social_media,mobile,Monday,0,0,none,2.1,1,3.9,19.8,1,1,0,0,0,0,0,0
U00193,bird,Lovebird,12-24,referral,mobile,Monday,1,0,awareness,1.07,2,4.7,23.2,1,1,1,5,3,1,1,0
U00194,cat,Persian,12-24,email,mobile,Friday,1,1,seasonal,1.89,3,3.1,9.2,1,1,1,1,1,0,0,1
U00195,dog,Chihuahua,24+,social_media,desktop,Wednesday,1,0,none,18.57,7,4.0,18.9,0,1,0,0,0,0,0,0
U00196,dog,German Shepherd,12-24,organic,mobile,Monday,0,0,none,1.86,5,4.0,5.8,1,1,1,3,2,0,0,1
U00197,cat,Persian,12-24,paid_ad,mobile,Thursday,0,0,none,7.0,4,4.7,9.2,0,1,0,0,0,0,0,0
U00198,bird,Lovebird,0-3,organic,mobile,Sunday,0,1,awareness,3.44,2,4.0,31.3,1,1,0,0,0,0,0,0
U00199,bird,Cockatiel,6-12,organic,tablet,Saturday,1,0,none,2.06,3,3.2,1.0,0,0,0,0,0,0,0,0
U00200,rabbit,Lionhead,3-6,social_media,mobile,Saturday,0,0,retargeting,5.96,2,4.4,9.2,1,0,1,3,1,0,0,1
U00201,cat,Siamese,3-6,organic,desktop,Sunday,1,0,seasonal,7.05,2,4.1,1.0,1,1,1,6,0,0,0,1
U00202,dog,German Shepherd,6-12,email,mobile,Sunday,0,1,seasonal,0.5,2,3.9,8.5,0,1,1,2,3,1,1,0
U00203,dog,Golden Retriever,12-24,organic,mobile,Saturday,0,1,none,0.5,6,3.6,11.0,0,1,1,5,4,1,1,0
U00204,bird,Canary,0-3,email,desktop,Friday,0,0,awareness,8.38,5,3.2,21.1,1,1,0,0,0,1,1,0
